STATION,NAME,LATITUDE,LONGITUDE,STATE,COORD,COUNTY,ZIP
USC00461324,"CACAPON STATE PARK 2, WV US",39.5064,-78.3158,WV,"39.5064,-78.3158",Alamance County,27258
USC00442009,"CORBIN, VA US",38.2022,-77.3747,VA,"38.2022,-77.3747",Avery County,28604
USC00440187,"AMELIA COURTHOUSE 1, VA US",37.3451,-77.9781,VA,"37.3451,-77.9781",Pitt County,27834
USC00442245,"DANVILLE, VA US",36.5869,-79.3886,VA,"36.5869,-79.3886",New Hanover County,28409
USC00466212,"MORGANTOWN LOCK AND DAM, WV US",39.6203,-79.9698,WV,"39.6203,-79.9698",Beaufort County,27889
USC00467785,"ROWLESBURG 1, WV US",39.3419,-79.6697,WV,"39.3419,-79.6697",Lenoir County,28501
USC00464397,"HUNTINGTON SWG PLANT, WV US",38.4014,-82.5266,WV,"38.4014,-82.5266",Halifax County,27832
USC00465365,"LONDON LOCKS, WV US",38.1935,-81.3701,WV,"38.1935,-81.3701",Cabarrus County,28025
USC00440982,"BREAKS INTERSTATE PARK, VA US",37.2889,-82.2928,VA,"37.2889,-82.2928",Transylvania County,28712
USC00440860,"BOSTON 4 SE, VA US",38.5459,-78.0981,VA,"38.5459,-78.0981",Bertie County,27849
USC00440188,"AMELIA 8 NE, VA US",37.4255,-77.8915,VA,"37.4255,-77.8915",Hyde County,27960
USW00013880,"CHARLESTON INTL. AIRPORT, SC US",32.8986,-80.0402,SC,"32.8986,-80.0402",New Hanover County,28429
USC00445880,"MUSTOE 1 SW, VA US",38.3311,-79.6586,VA,"38.3311,-79.6586",Gaston County,28506
USC00387666,"SANDHILL RESEARCH, SC US",34.1419,-80.87,SC,"34.1419,-80.87",Davidson County,27295
USC00463072,"FLAT TOP, WV US",37.5894,-81.0925,WV,"37.5894,-81.0925",Rockingham County,27320
USW00013769,"OCEANA NAS, VA US",36.81667,-76.03333,VA,"36.81667,-76.03333",Mecklenburg County,28214
USW00013886,"GREENVILLE DOWNTOWN AIRPORT, SC US",34.84611,-82.34611,SC,"34.846109999999996,-82.34611",Macon County,28741
USW00013883,"COLUMBIA METROPOLITAN AIRPORT, SC US",33.9419,-81.1181,SC,"33.9419,-81.1181",Stanly County,28001
USW00013762,"FENTRESS NAVAL AUXILIARY FIELD, VA US",36.695,-76.13556,VA,"36.695,-76.13556",Virginia Beach (city),23328-6481
USC00461215,"BUCKEYE, WV US",38.1873,-80.1336,WV,"38.1873,-80.1336",Pocahontas County,24954
USC00461579,"CHARLESTON WSFO, WV US",38.3138,-81.7186,WV,"38.3138,-81.7186",Orange County,27516
USC00441825,"CLINTWOOD 1 W, VA US",37.1453,-82.4911,VA,"37.1453,-82.4911",Dare County,27954
USC00447925,"SOUTH BOSTON, VA US",36.6954,-78.8807,VA,"36.6954,-78.8807",Pasquotank County,27909
USC00440735,"BIG STONE GAP, VA US",36.8628,-82.7711,VA,"36.8628,-82.7711",Yancey County,28714
USC00443565,"GREENBAY 3 NE, VA US",37.1756,-78.2786,VA,"37.1756,-78.2786",Buncombe,28806
USC00446955,"PULASKI 2 E, VA US",37.0556,-80.7842,VA,"37.0556,-80.7842",Scotland County,28353
USC00468522,"STONEWALL JACKSON DAM, WV US",39.0046,-80.47399999999998,WV,"39.0046,-80.47399999999999",Alamance County,27215
USC00443204,"FREDERICKSBURG SEWAGE, VA US",38.2875,-77.4507,VA,"38.2875,-77.4507",Fredericksburg City,22401
USC00467552,"RIPLEY, WV US",38.8172,-81.7119,WV,"38.8172,-81.7119",Clay County,28904
USC00469610,"WILLIAMSON, WV US",37.6731,-82.2762,WV,"37.6731,-82.2762",Mingo County,25661
USC00444414,"JOHN H KERR DAM, VA US",36.6002,-78.3011,VA,"36.6002,-78.3011",Wilson County,27893
USC00444777,"LEBANON, VA US",36.9028,-82.0384,VA,"36.9028,-82.0384",Northampton County,27845
USC00446712,"PIEDMONT RESEARCH STATION, VA US",38.2323,-78.1202,VA,"38.2323,-78.1202",Pender County,28435
USC00464840,"KEYSER 2 SSW, WV US",39.4206,-79.005,WV,"39.4206,-79.005",Cleveland County,28150
USC00388188,"SPARTANBURG 3 SSE, SC US",34.9077,-81.9138,SC,"34.9077,-81.9138",Spartanburg County,29306
USC00447130,"REMINGTON 2, VA US",38.5325,-77.8167,VA,"38.5325,-77.8167",Fauquier County,22734
USC00460925,"BLUEFIELD, WV US",37.2555,-81.2263,WV,"37.2555,-81.2263",Mercer County,24701
USC00466591,"OAK HILL, WV US",37.9715,-81.1507,WV,"37.9715,-81.1507",Fayette County,25901
USC00446161,"NORTH, VA US",37.4313,-76.4414,VA,"37.4313,-76.4414",Mathews County,23178
USW00093773,"WAKEFIELD MUNICIPAL AIRPORT, VA US",36.98389,-77.00721999999998,VA,"36.98389,-77.00721999999999",Sussex County,23890
USC00383730,"GREELEYVILLE 5 N, SC US",33.646390000000004,-79.99056,SC,"33.646390000000004,-79.99056",Williamsburg County,29056
USC00386688,"PARR, SC US",34.2931,-81.3181,SC,"34.2931,-81.3181",Fairfield County,29122
USW00093775,"ASHLAND HANOVER CO MUNICIPAL AIRPORT, VA US",37.70806,-77.43444000000002,VA,"37.708059999999996,-77.43444000000001",Hanover County,23005
USC00386209,"NEWBERRY, SC US",34.2977,-81.6236,SC,"34.2977,-81.6236",Newberry County,29108
USW00013773,"QUANTICO MCAS, VA US",38.50362,-77.30503,VA,"38.50362,-77.30503",Prince William County,22134
USC00382757,"EFFINGHAM, SC US",34.0627,-79.7555,SC,"34.0627,-79.7555",Florence County,29541
USW00003733,"ELKINS 21 ENE, WV US",39.01300000000001,-79.4743,WV,"39.013000000000005,-79.4743",Tucker County,26289
USC00440720,"BIG MEADOWS, VA US",38.5216,-78.4355,VA,"38.5216,-78.4355",Madison County,22851
USC00466912,"PEA RIDGE PSD, WV US",38.4197,-82.2986,WV,"38.4197,-82.2986",Cabell County,25705
USC00463648,"GRANTSVILLE 1 ESE, WV US",38.9099,-81.0844,WV,"38.9099,-81.0844",Calhoun County,26147
USC00465706,"MARTINSBURG 2, WV US",39.4658,-77.9669,WV,"39.4658,-77.9669",Berkeley County,25401
USC00444768,"LAWRENCEVILLE 3 E, VA US",36.7711,-77.7928,VA,"36.7711,-77.7928",Brunswick County,23868
USC00461900,"COOPERS ROCK STATE FOREST, WV US",39.67722,-79.77194,WV,"39.67722,-79.77194",Preston County,26525
USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",36.9033,-76.1922,VA,"36.9033,-76.1922",Virginia Beach (city),23518-5807
USC00461220,"BUCKHANNON, WV US",38.9803,-80.2201,WV,"38.9803,-80.2201",Upshur County,26201
USC00464971,"KUMBRABOW, WV US",38.6311,-80.0856,WV,"38.6311,-80.0856",Randolph County,26273
USC00443310,"GATHRIGHT DAM, VA US",37.9458,-79.9542,VA,"37.9458,-79.9542",Alleghany County,24445
USC00446147,"NORFOLK SOUTH, VA US",36.8707,-76.2289,VA,"36.8707,-76.2289",Norfolk,23502
USC00468777,"TERRA ALTA NUMBER 1, WV US",39.4467,-79.5469,WV,"39.4467,-79.5469",Preston County,26764
USC00449301,"WYTHEVILLE, VA US",36.9617,-81.087,VA,"36.9617,-81.087",Wythe County,24382
USC00460939,"BLUESTONE LAKE, WV US",37.64128,-80.88331,WV,"37.64128,-80.88331",Summers County,25951
USC00387885,"CHESNEE 7 WSW, SC US",35.11667,-81.96667,SC,"35.11667,-81.96667",Spartanburg County,29323
USC00468662,"SUTTON LAKE, WV US",38.6611,-80.697,WV,"38.6611,-80.697",Braxton County,26601
USW00003728,"MCCLELLANVILLE 7 NE, SC US",33.1532,-79.3637,SC,"33.1532,-79.3637",Charleston County,29458
USW00013867,"PARKERSBURG, WV US",39.2811,-81.5572,WV,"39.2811,-81.5572",Wood County,26101
USW00013866,"CHARLESTON YEAGER AIRPORT, WV US",38.3794,-81.59,WV,"38.3794,-81.59",Kanawha County,25311
USW00013744,"FLORENCE REGIONAL AIRPORT, SC US",34.1852,-79.7238,SC,"34.1852,-79.7238",Florence County,29506
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8483,-77.0341,VA,"38.8483,-77.0341",Arlington County,22202
USW00013741,"ROANOKE REGIONAL AIRPORT, VA US",37.3169,-79.9741,VA,"37.3169,-79.9741",Charleston County,24019
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",37.505,-77.3202,VA,"37.505,-77.3202",Henrico County,23250
USC00468308,"SNOWSHOE, WV US",38.399,-79.9949,WV,"38.399,-79.9949",Pocahontas County,26209
USC00447904,"SOMERSET, VA US",38.2456,-78.2703,VA,"38.2456,-78.2703",Orange County,22972
USC00381770,"CLEMSON UNIVERSITY, SC US",34.6603,-82.8236,SC,"34.6603,-82.8236",Pickens County,29634
USC00441121,"BUCHANAN, VA US",37.5247,-79.6816,VA,"37.5247,-79.6816",Botetourt County,24066
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,VA,"37.7767,-79.4385",Lexington City,24450
USC00381093,"BROOKGREEN GARDENS, SC US",33.5214,-79.0975,SC,"33.5214,-79.0975",Georgetown County,29585
USC00466248,"MOUNDSVILLE, WV US",39.9055,-80.7549,WV,"39.9055,-80.7549",Marshall County,26041
USW00013750,"NORFOLK NAS, VA US",36.93746,-76.28926,VA,"36.937459999999994,-76.28926",Norfolk,23501
USC00445050,"LOUISA, VA US",38.0421,-78.0061,VA,"38.0421,-78.0061",Louisa County,23093
USC00387631,"SALUDA, SC US",33.99778,-81.77472,SC,"33.99778,-81.77472",Saluda County,29138
USC00380448,"BAMBERG, SC US",33.3,-81.0306,SC,"33.3,-81.0306",Bamberg County,29003
USW00053854,"ORANGEBURG MUNICIPAL AIRPORT, SC US",33.46167,-80.85806,SC,"33.46167,-80.85806",Orangeburg County,29115
USW00003759,"CHARLOTTESVILLE 2 SSE, VA US",37.9975,-78.4656,VA,"37.9975,-78.4656",Albemarle County,22909
USC00442208,"DALE ENTERPRISE, VA US",38.4547,-78.9352,VA,"38.4547,-78.9352",Rockingham County,22801
USC00381241,"CADES 4 W, SC US",33.8083,-79.8566,SC,"33.8083,-79.8566",Williamsburg County,29518
USC00440021,"ABINGDON 3 S, VA US",36.6687,-81.9646,VA,"36.6687,-81.9646",Washington County,24211
USC00441593,"CHARLOTTESVILLE 2 W, VA US",38.0329,-78.5226,VA,"38.0329,-78.5226",Albemarle County,22904
USC00447338,"ROCKY MOUNT, VA US",36.9769,-79.8961,VA,"36.9769,-79.8961",Franklin County,24151
USC00469522,"WHITE SULPHUR SPRINGS, WV US",37.7885,-80.3083,WV,"37.7885,-80.3083",Greenbrier County,24986
USW00003870,"GRNVL SPART INTERNATIONAL AIRPORT, SC US",34.8842,-82.2209,SC,"34.8842,-82.2209",Spartanburg County,29651
USC00385290,"LONGTOWN, SC US",34.3486,-80.8348,SC,"34.3486,-80.8348",Fairfield County,29130
USC00462211,"DAVIS 3 SE, WV US",39.098,-79.4322,WV,"39.098,-79.4322",Tucker County,26260
USW00003872,"BECKLEY RALEIGH CO AIRPORT, WV US",37.7836,-81.123,WV,"37.7836,-81.123",Raleigh County,25813
USC00446125,"NORA 4 SSE, VA US",37.0156,-82.3214,VA,"37.0156,-82.3214",Dickenson County,24272
USC00462697,"ELIZABETH, WV US",39.0614,-81.4023,WV,"39.0614,-81.4023",Wirt County,26143
USC00463544,"GLENVILLE, WV US",38.9339,-80.8317,WV,"38.9339,-80.8317",Gilmer County,26351
USC00465963,"MIDDLEBOURNE 3 ESE, WV US",39.47,-80.8571,WV,"39.47,-80.8571",Tyler County,26149
USC00446491,"PALMYRA 3 S, VA US",37.8141,-78.2645,VA,"37.8141,-78.2645",Fluvanna County,22963
USW00093741,"NEWPORT NEWS INTERNATIONAL AIRPORT, VA US",37.13194,-76.49306,VA,"37.13194,-76.49306",Tyler County,23602
USW00014894,"WHEELING OHIO CO AIRPORT, WV US",40.17639000000001,-80.64721999999998,WV,"40.176390000000005,-80.64721999999999",Brooke County,26075
USC00463798,"HACKER VALLEY, WV US",38.6195,-80.3821,WV,"38.6195,-80.3821",Webster County,26222
USC00381479,"CEDAR CREEK 2 E, SC US",34.2183,-81.07300000000002,SC,"34.2183,-81.07300000000001",Richland County,29016
USW00053867,"COLUMBIA OWENS DOWNTOWN AIRPORT, SC US",33.97056,-80.99583,SC,"33.97056,-80.99583",Richland County,29201
USC00467918,"SANDYVILLE 9 NE, WV US",38.9817,-81.5659,WV,"38.9817,-81.5659",Jackson County,25275
USC00445700,"MONTICELLO, VA US",38.0111,-78.4494,VA,"38.0111,-78.4494",Albemarle County,22909
USC00462462,"DRY CREEK, WV US",37.86,-81.46300000000002,WV,"37.86,-81.46300000000001",Raleigh County,25209
USC00443640,"GRUNDY, VA US",37.2822,-82.0894,VA,"37.2822,-82.0894",Buchanan County,24614
USC00441585,"CHARLOTTE COURT HOUSE, VA US",37.0521,-78.6496,VA,"37.0521,-78.6496",Charlotte County,23923
USW00003860,"HUNTINGTON TRI STATE AIRPORT, WV US",38.365,-82.555,WV,"38.365,-82.555",Wayne County,25704
USW00093738,"WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US",38.9408,-77.4636,VA,"38.9408,-77.4636",Loudoun County,20107
USW00093739,"WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US",37.9372,-75.4708,VA,"37.9372,-75.4708",Accomack County,23337
USC00385278,"LONG CREEK, SC US",34.7975,-83.2678,SC,"34.7975,-83.2678",Oconee County,29664
USC00388786,"UNION 8 S, SC US",34.60521,-81.66293,SC,"34.60521,-81.66293",Union County,29379
USC00445150,"MADISON, VA US",38.3683,-78.2503,VA,"38.3683,-78.2503",Madison County,22727
USW00003739,"CAPE CHARLES 5 ENE, VA US",37.2907,-75.92699999999998,VA,"37.2907,-75.92699999999999",Northampton County,23310
USW00003859,"BLUEFIELD MERCER CO AIRPORT, WV US",37.2958,-81.2077,WV,"37.2958,-81.2077",Mercer County,24701
USC00388426,"SUMMERVILLE 4 W, SC US",33.0366,-80.2325,SC,"33.0366,-80.2325",Edgecombe County,27886
USW00053871,"ROCK HILL YORK CO AIRPORT, SC US",34.986940000000004,-81.0575,SC,"34.986940000000004,-81.0575",York County,29732
USW00053874,"GREENWOOD CO AIRPORT, SC US",34.24861,-82.15916999999997,SC,"34.24861,-82.15916999999999",Greenwood County,29649
USW00093736,"CHARLOTTESVILLE ALBEMARLE AIRPORT, VA US",38.13861,-78.45306,VA,"38.13861,-78.45306",Madison County,28743
USC00381588,"CHERAW, SC US",34.732,-79.8833,SC,"34.732,-79.8833",Gaston County,28056
USC00465626,"MANNINGTON 8 WNW, WV US",39.5436,-80.4647,WV,"39.5436,-80.4647",Union County,28110
USC00442663,"EDINBURG, VA US",38.8025,-78.5853,VA,"38.8025,-78.5853",Shenandoah County,22824
USC00441692,"CHRISTIANSBURG, VA US",37.1278,-80.4033,VA,"37.1278,-80.4033",Catawba County,28601
USC00448888,"WARRENTON 3 SE, VA US",38.6812,-77.7678,VA,"38.6812,-77.7678",Henderson,28759
USC00380490,"BARNWELL 5 ENE, SC US",33.2563,-81.2422,SC,"33.2563,-81.2422",Barnwell County,29812
USC00440243,"APPOMATTOX, VA US",37.3261,-78.8274,VA,"37.3261,-78.8274",Appomattox County,24522
USC00466952,"PETERSBURG, WV US",38.9988,-79.13600000000002,WV,"38.9988,-79.13600000000001",Watauga County,28607
USC00387683,"SANDY RUN 3 ENE, SC US",33.8089,-80.9019,SC,"33.8089,-80.9019",Martin County,27892
USC00446475,"PAINTER 2 W, VA US",37.5831,-75.8217,VA,"37.5831,-75.8217",Accomack County,23420
USC00448894,"WARSAW 2 NW, VA US",37.9881,-76.7769,VA,"37.9881,-76.7769",Orange County,27510
USC00442790,"EMPORIA 1 WNW, VA US",36.6983,-77.5597,VA,"36.6983,-77.5597",Henderson,28792
USC00387687,"SANDY SPRINGS 2 NE, SC US",34.6111,-82.727,SC,"34.6111,-82.727",Brunswick County,28470
USC00449186,"WINCHESTER 7 SE, VA US",39.1833,-78.1167,VA,"39.1833,-78.1167",Brunswick County,28452
USC00467372,"R.D. BAILEY LAKE, WV US",37.5973,-81.8204,WV,"37.5973,-81.8204",Hertford County,27818
USC00386114,"MULLINS, SC US",34.1944,-79.2472,SC,"34.1944,-79.2472",Marion County,29574
USC00466163,"MOOREFIELD 1 SSE, WV US",39.0461,-78.9664,WV,"39.0461,-78.9664",Madison County,28753
USC00466284,"MOUNT NEBO 1 S, WV US",38.1879,-80.8484,WV,"38.1879,-80.8484",Lee County,27330
USC00389625,"YORK 4 S, SC US",34.9386,-81.225,SC,"34.9386,-81.225",Polk County,28782
USC00449181,"WINCHESTER, VA US",39.1881,-78.1514,VA,"39.1881,-78.1514",Franklin County,27549
USC00385946,"MONCKS CORNER 4 N, SC US",33.2425,-79.9869,SC,"33.2425,-79.9869",Berkeley County,29461
USC00463215,"FRANKLIN 2 NE, WV US",38.6756,-79.3092,WV,"38.6756,-79.3092",Forsyth County,27105
USC00384607,"JOHNSTON 4 SW, SC US",33.7775,-81.8467,SC,"33.7775,-81.8467",Carteret County,28579
USC00462920,"FAIRMONT, WV US",39.4667,-80.1333,WV,"39.4667,-80.1333",Pasquotank County,27909
USC00380126,"ALLENDALE 2 NW, SC US",33.0167,-81.3167,SC,"33.0167,-81.3167",Carteret County,28520
USC00441209,"BURKES GARDEN, VA US",37.0925,-81.3358,VA,"37.0925,-81.3358",Henderson,28759
USC00468589,"SUGAR GROVE 4 NNE, WV US",38.57,-79.2758,WV,"38.57,-79.2758",Pendleton County,26815
USC00469436,"WESTON, WV US",39.044,-80.4725,WV,"39.044000000000004,-80.4725",Lewis County,26452
USC00461397,"CANAAN VALLEY NUMBER 2, WV US",39.0483,-79.4406,WV,"39.0483,-79.4406",Tucker County,26260
USC00441322,"CAMP PICKETT, VA US",37.0375,-77.9462,VA,"37.0375,-77.9462",Nottoway County,23824
USC00465875,"MCROSS 3 E, WV US",37.9892,-80.68,WV,"37.9892,-80.68",Greenbrier County,25984
USC00466600,"OCEANA 2 SE, WV US",37.6761,-81.6213,WV,"37.6761,-81.6213",Wyoming County,24870
USC00467018,"PIKE ISLAND LOCK AND DAM, WV US",40.1478,-80.7014,WV,"40.1478,-80.7014",Ohio County,26058
USC00385493,"MANNING, SC US",33.6989,-80.2003,SC,"33.6989,-80.2003",Nash County,27822
USC00444044,"HOLLAND 1 E, VA US",36.683,-76.7684,VA,"36.683,-76.7684",Lenoir County,28501
USC00460509,"BARTOW 1 S, WV US",38.5312,-79.7714,WV,"38.5312,-79.7714",Union County,28112
USC00383990,"HARTSVILLE, SC US",34.3949,-80.0486,SC,"34.3949,-80.0486",Avery County,28622
USC00388887,"WALHALLA, SC US",34.7545,-83.0751,SC,"34.7545,-83.0751",Surry County,27030
USC00469683,"WINFIELD LOCKS, WV US",38.5277,-81.9154,WV,"38.5277,-81.9154",Swain County,28719
USC00468351,"SOUTHSIDE 3 NNW, WV US",38.7506,-81.9808,WV,"38.7506,-81.9808",Mason County,25187
USC00385017,"LAURENS, SC US",34.4988,-82.0219,SC,"34.4988,-82.0219",Cumberland County,28307
USC00448084,"STERLING RCS, VA US",38.9764,-77.4869,VA,"38.9764,-77.4869",Wayne County,27534
USC00383754,"GREENWOOD, SC US",34.1997,-82.1711,SC,"34.1997,-82.1711",Greenwood County,29649
USC00388405,"SULLIVANS ISLAND, SC US",32.7618,-79.8573,SC,"32.7618,-79.8573",Charleston County,29482
USC00445117,"LYNCHBURG NUMBER 2, VA US",37.3818,-79.233,VA,"37.3818,-79.233",Nottoway County,24502
USC00442400,"DISPUTANTA, VA US",37.1122,-77.2017,VA,"37.1122,-77.2017",Prince George County,23842
USC00460633,"BELINGTON, WV US",39.023,-79.933,WV,"39.023,-79.933",Barbour County,26250
USC00463464,"GLADY 1 N, WV US",38.8072,-79.7172,WV,"38.8072,-79.7172",Randolph County,26268
USC00467029,"PINEVILLE, WV US",37.5741,-81.5355,WV,"37.5741,-81.5355",Wyoming County,25870
USC00447541,"SANDSTON, VA US",37.54417,-77.27583,VA,"37.54417,-77.27583",Henrico County,23150
USC00469333,"WEBSTER SPRINGS, WV US",38.4738,-80.4086,WV,"38.4738,-80.4086",Webster County,26288
USC00389327,"WINNSBORO, SC US",34.3706,-81.0825,SC,"34.3706,-81.0825",Fairfield County,29180
USC00461290,"BURTON, WV US",39.6466,-80.4066,WV,"39.6466,-80.4066",Wetzel County,26562
USC00448192,"SUFFOLK LAKE KILBY, VA US",36.7297,-76.6015,VA,"36.7297,-76.6015",Nottoway County,23434
USC00381726,"CLARKS HILL 1 W, SC US",33.6634,-82.1897,SC,"33.6634,-82.1897",McCormick County,29838
USC00380635,"BENNETTSVILLE, SC US",34.6488,-79.6822,SC,"34.6488,-79.6822",Marlboro County,29512
USC00466867,"PARSONS 1 NE, WV US",39.0736,-79.634,WV,"39.0736,-79.634",Tucker County,26287
USC00466989,"PICKENS 2 N, WV US",38.67889,-80.19583,WV,"38.67889,-80.19583",Randolph County,26230
USC00442635,"EASTVILLE, VA US",37.3876,-75.9744,VA,"37.3876,-75.9744",Northampton County,23405
USC00381277,"CALHOUN FALLS, SC US",34.0905,-82.5883,SC,"34.0905,-82.5883",Abbeville County,29628
USC00460527,"BAYARD, WV US",39.2728,-79.3684,WV,"39.2728,-79.3684",Grant County,26707
USC00466982,"PHILIPPI, WV US",39.1461,-80.0411,WV,"39.1461,-80.0411",Barbour County,26416
USC00469458,"WEST UNION 2, WV US",39.2906,-80.7687,WV,"39.2906,-80.7687",Doddridge County,26456
USC00448737,"VIENNA, VA US",38.9,-77.2663,VA,"38.9,-77.2663",Fairfax County,22180
USC00464200,"HOGSETT R.C. BYRD DAM, WV US",38.6844,-82.1837,WV,"38.6844,-82.1837",Mason County,25502
